winery,wine,rating,region,price,body
414,719,4.6,53,218.0,5.0
414,719,4.6,53,177.0,5.0
414,719,4.6,53,187.3,5.0
414,719,4.6,53,195.59,5.0
414,719,4.6,53,135.0,5.0
414,719,4.6,53,225.2,5.0
13,588,4.6,53,79.8,5.0
2,494,4.6,53,116.1879436,5.0
2,494,4.6,53,89.3,5.0
272,115,4.6,55,438.9,4.0
13,588,4.6,53,79.9,5.0
414,719,4.6,53,249.0,5.0
170,281,4.6,53,129.95,5.0
2,494,4.6,53,76.95,5.0
414,719,4.6,53,252.0,5.0
414,719,4.6,53,232.0,5.0
58,682,4.6,65,214.0,5.0
58,682,4.6,65,205.0,5.0
117,496,4.6,53,49.95,5.0
181,422,4.6,53,125.0,5.0
414,719,4.6,53,276.8,5.0
181,423,4.6,53,75.0,5.0
170,528,4.6,53,1359.75,5.0
327,181,4.6,53,81.5,5.0
170,528,4.6,53,890.0,5.0
173,230,4.6,65,43.5,5.0
181,422,4.6,53,99.0,5.0
170,528,4.6,53,1198.72,5.0
86,684,4.6,15,94.95,4.0
86,684,4.6,15,89.0,4.0
170,528,4.6,53,1785.96,5.0
428,375,4.6,55,108.21,4.0
31,749,4.6,70,391.5,4.0
170,528,4.6,53,1350.0,5.0
92,146,4.6,55,145.0,4.0
92,146,4.6,55,173.38,4.0
55,170,4.6,55,220.0,4.0
272,189,4.6,55,85.7,4.0
414,711,4.6,53,2884.04,5.0
379,276,4.6,55,79.9,4.0
423,503,4.6,53,68.7,5.0
170,528,4.6,53,1638.95,5.0
288,154,4.6,49,150.0,4.0
117,496,4.6,53,48.95,5.0
329,513,4.6,53,109.41,5.0
181,422,4.6,53,119.0,5.0
414,719,4.6,53,195.0,5.0
170,528,4.6,53,1595.0,5.0
31,749,4.6,70,519.55,4.0
329,513,4.6,53,89.0,5.0
31,749,4.6,70,511.9,4.0
23,354,4.6,49,980.0,4.0
119,184,4.6,32,73.0,4.0
31,749,4.6,70,280.0,4.0
414,711,4.6,53,932.3,5.0
55,170,4.6,55,251.99,4.0
93,111,4.6,65,61.69,5.0
23,354,4.6,49,1372.14,4.0
58,682,4.6,65,210.5,5.0
414,719,4.6,53,285.0,5.0
291,591,4.6,53,245.75,5.0
414,719,4.6,53,228.57,5.0
55,170,4.6,55,319.9,4.0
31,749,4.6,70,325.0,4.0
314,475,4.6,49,345.0,4.0
86,718,4.6,15,58.9,4.0
363,429,4.6,55,159.0,4.0
426,87,4.6,61,69.9,4.0
414,712,4.6,53,895.4,5.0
391,30,4.6,65,147.85,5.0
86,684,4.6,15,88.05,4.0
23,354,4.6,49,1080.0,4.0
273,287,4.6,55,301.0,4.0
31,749,4.6,70,275.0,4.0
414,711,4.6,53,1106.24,5.0
32,54,4.6,53,64.9,5.0
170,528,4.6,53,1503.0,5.0
23,354,4.6,49,1372.14,4.0
31,749,4.6,70,241.55,4.0
85,363,4.6,49,89.17,4.0
414,711,4.6,53,769.9,5.0
167,693,4.6,53,67.94,5.0
394,19,4.6,53,44.0,5.0
31,749,4.6,70,445.0,4.0
108,533,4.6,49,87.02,4.0
414,712,4.6,53,747.17,5.0
173,230,4.6,65,49.95,5.0
322,106,4.6,15,50.51,3.0
32,307,4.6,53,157.4,5.0
19,63,4.6,12,120.9,5.0
170,528,4.6,53,1746.94,5.0
129,341,4.6,53,75.3,5.0
117,496,4.6,53,47.5,5.0
414,711,4.6,53,359.9,5.0
97,693,4.6,53,43.5,5.0
14,75,4.6,55,136.0,4.0
150,198,4.6,49,117.2394201,4.158426788816932
329,513,4.6,53,135.0,5.0
363,705,4.6,55,82.5,4.0
92,146,4.6,55,149.9,4.0
391,693,4.6,65,1260.0,5.0
329,209,4.6,53,59.0,5.0
96,690,4.6,53,82.5,5.0
272,115,4.6,55,195.0,4.0
414,719,4.6,53,195.0,5.0
32,566,4.6,53,54.5,5.0
222,564,4.6,53,79.1,5.0
288,308,4.6,49,272.0,4.0
126,258,4.6,25,99.0,4.0
181,149,4.6,53,317.63,5.0
379,53,4.6,55,399.6,4.0
396,300,4.6,40,701.05,5.0
361,568,4.6,17,74.9,2.0
137,544,4.6,49,654.31,4.0
414,719,4.6,53,247.75,5.0
396,207,4.6,40,144.99,5.0
23,354,4.6,49,945.0,4.0
222,562,4.6,53,50.0,5.0
441,266,4.6,55,126.64,4.0
271,25,4.6,23,162.38,4.0
148,758,4.6,55,81.0,4.0
23,354,4.6,49,2750.0,4.0
272,189,4.6,55,121.0,4.0
23,399,4.6,49,355.95,4.0
215,122,4.6,17,164.66,2.0
19,63,4.6,12,120.9,5.0
172,314,4.6,53,218.9,5.0
223,516,4.6,53,65.95,5.0
85,363,4.6,49,86.0,4.0
206,29,4.6,52,34.5,4.158426788816932
27,662,4.6,37,282.65,4.0
284,2,4.6,49,259.9,4.0
414,711,4.6,53,1099.28,5.0
122,112,4.6,71,35.0,5.0
159,460,4.6,8,269.95,3.0
245,107,4.6,18,27.2693427,4.0
170,528,4.6,53,1250.0,5.0
127,134,4.6,55,52.95,4.0
324,353,4.6,55,114.95,4.0
414,719,4.6,53,195.0,5.0
66,578,4.6,66,29.35,4.0
350,222,4.6,55,79.9,4.0
291,590,4.6,53,53.95,5.0
121,272,4.6,52,26.2,4.158426788816932
284,2,4.6,49,270.44,4.0
31,378,4.6,70,187.5,4.0
272,572,4.6,55,210.0,4.0
222,564,4.6,53,85.63,5.0
31,749,4.6,70,304.54,4.0
410,344,4.6,49,34.3,4.0
137,544,4.6,49,993.28,4.0
379,53,4.6,55,85.95,4.0
328,621,4.6,43,12.0,4.158426788816932
181,149,4.6,53,249.9,5.0
414,712,4.6,53,1238.43,5.0
379,276,4.6,55,128.0,4.0
159,721,4.6,8,135.5,3.0
403,693,4.6,56,40.5,4.0
198,692,4.6,10,43.1,4.158426788816932
85,363,4.6,49,85.0,4.0
422,608,4.6,55,123.0,4.0
165,722,4.6,53,106.35,5.0
396,207,4.6,40,207.0,5.0
296,579,4.6,70,75.95,3.0
172,314,4.6,53,185.3,5.0
390,405,4.6,49,205.95,4.0
200,701,4.6,53,40.45,5.0
31,217,4.6,70,176.89,4.0
227,674,4.6,10,79.9,4.0
212,752,4.6,55,79.0,4.0
124,623,4.6,21,195.27,4.0
4,186,4.6,59,58.9,4.0
23,354,4.6,49,1660.0,4.0
165,722,4.6,53,111.9,5.0
66,578,4.6,66,29.95,4.0
183,713,4.6,61,129.9,4.0
48,413,4.6,55,69.95,4.0
284,3,4.6,49,299.0,4.0
159,366,4.6,8,3119.08,4.0
68,291,4.6,12,99.95,4.0
385,457,4.6,36,41.69,4.158426788816932
27,662,4.6,37,374.35,4.0
394,19,4.6,53,46.45,5.0
23,354,4.6,49,2750.0,4.0
6,243,4.6,49,42.5,4.0
420,14,4.6,53,95.0,5.0
361,172,4.6,16,130.0,2.0
396,206,4.6,40,181.5,5.0
327,693,4.5,53,29.8,5.0
13,588,4.5,53,73.0,5.0
13,588,4.5,53,56.27,5.0
344,696,4.5,65,69.0,5.0
327,693,4.5,53,45.0,5.0
13,588,4.5,53,75.0,5.0
344,696,4.5,65,69.8,5.0
327,693,4.5,53,121.9368259,5.0
2,494,4.5,53,78.65,5.0
272,115,4.5,55,400.0,4.0
246,311,4.5,55,125.0,4.0
272,115,4.5,55,229.0,4.0
344,696,4.5,65,40.41,5.0
170,281,4.5,53,101.94,5.0
2,494,4.5,53,172.5,5.0
75,148,4.5,32,33.2,4.0
170,281,4.5,53,125.0,5.0
170,281,4.5,53,125.0,5.0
170,281,4.5,53,125.0,5.0
75,148,4.5,32,31.75,4.0
75,148,4.5,32,39.5,4.0
2,494,4.5,53,64.0,5.0
327,693,4.5,53,33.8,5.0
48,413,4.5,55,58.95,4.0
2,693,4.5,53,33.25,5.0
75,148,4.5,32,61.84917653,4.0
19,294,4.5,12,44.27,5.0
329,512,4.5,53,45.9,5.0
414,719,4.5,53,239.2,5.0
48,413,4.5,55,68.9,4.0
13,588,4.5,53,164.0,5.0
47,82,4.5,58,32.85,3.0
329,512,4.5,53,40.95,5.0
327,562,4.5,53,69.58032359,5.0
170,281,4.5,53,110.0,5.0
363,611,4.5,55,49.75,4.0
305,539,4.5,55,51.0,4.0
363,611,4.5,55,59.9,4.0
246,311,4.5,55,290.7,4.0
47,82,4.5,58,37.7,3.0
140,544,4.5,49,146.95,4.0
305,700,4.5,55,70.5,4.0
48,413,4.5,55,64.0,4.0
58,682,4.5,65,168.0,5.0
181,423,4.5,53,173.95,5.0
140,544,4.5,49,65.0,4.0
272,189,4.5,55,67.6,4.0
222,562,4.5,53,53.95,5.0
329,512,4.5,53,42.95,5.0
246,311,4.5,55,127.23,4.0
75,148,4.5,32,47.3,4.0
305,67,4.5,55,169.4,4.0
363,310,4.5,55,121.8389633,4.0
377,629,4.5,55,34.8,4.0
117,594,4.5,53,55.35,5.0
423,503,4.5,53,75.95,5.0
96,587,4.5,53,48.7,5.0
363,705,4.5,55,118.89,4.0
150,157,4.5,49,92.87162741,4.0
414,719,4.5,53,290.4,5.0
32,571,4.5,53,31.8,5.0
246,311,4.5,55,149.5,4.0
205,583,4.5,53,35.85,5.0
423,503,4.5,53,82.95,5.0
96,587,4.5,53,59.0,5.0
243,90,4.5,32,37.7,5.0
253,182,4.5,55,42.75,4.0
92,146,4.5,55,175.57,4.0
140,544,4.5,49,61.64,4.0
243,90,4.5,32,30.7,5.0
86,718,4.5,15,56.5,4.0
58,682,4.5,65,207.11,5.0
363,705,4.5,55,110.5,4.0
222,562,4.5,53,55.95,5.0
354,753,4.5,55,170.0,4.0
4,524,4.5,59,107.9,4.0
394,19,4.5,53,69.9,5.0
173,230,4.5,65,49.5,5.0
4,524,4.5,59,176.98,4.0
379,53,4.5,55,90.0,4.0
280,155,4.5,49,65.0,4.0
363,705,4.5,55,95.0,4.0
7,693,4.5,53,39.0,5.0
13,588,4.5,53,193.0,5.0
305,67,4.5,55,174.91,4.0
414,719,4.5,53,312.0,5.0
298,693,4.5,53,52.9,5.0
423,503,4.5,53,40.9,5.0
187,693,4.5,41,157.95,4.0
392,449,4.5,53,77.5,5.0
423,559,4.5,53,116.0,5.0
23,255,4.5,49,75.0,4.0
32,315,4.5,53,80.98,5.0
148,758,4.5,55,64.5,4.0
170,281,4.5,53,118.5,5.0
196,635,4.5,49,64.0,4.0
140,544,4.5,49,95.0,4.0
14,96,4.5,55,125.97,4.0
96,597,4.5,53,26.5,5.0
291,590,4.5,53,54.01,5.0
423,559,4.5,53,104.9,5.0
191,327,4.5,19,170.5,4.0
423,523,4.5,53,315.0,5.0
335,320,4.5,50,34.9,3.0
32,566,4.5,53,51.5,5.0
4,498,4.5,15,71.85,4.0
47,82,4.5,58,38.9,3.0
344,696,4.5,65,54.09,5.0
55,365,4.5,55,67.9,4.0
379,276,4.5,55,80.95,4.0
55,550,4.5,55,50.34,3.0
394,19,4.5,53,57.96,5.0
273,77,4.5,55,73.62,4.0
322,106,4.5,15,144.78,3.0
361,709,4.5,17,90.0,2.0
379,53,4.5,55,89.95,4.0
423,559,4.5,53,92.8,5.0
271,235,4.5,23,48.9,4.0
423,559,4.5,53,70.55,5.0
361,709,4.5,17,110.0,2.0
280,97,4.5,49,139.3,4.0
172,562,4.5,53,59.8,5.0
379,53,4.5,55,75.0,4.0
151,267,4.5,53,57.0,5.0
31,749,4.5,70,253.47,4.0
182,84,4.5,52,49.95,4.158426788816932
423,523,4.5,53,298.0,5.0
4,498,4.5,15,73.6,4.0
85,359,4.5,49,58.0,4.0
389,686,4.5,53,54.0,5.0
13,588,4.5,53,78.38,5.0
414,719,4.5,53,228.63,5.0
27,662,4.5,37,228.9,4.0
150,157,4.5,49,81.3,4.0
168,763,4.5,53,165.0,5.0
423,504,4.5,53,54.9,5.0
355,70,4.5,68,55.0,4.158426788816932
280,97,4.5,49,131.85,4.0
329,513,4.5,53,148.39,5.0
7,693,4.5,53,39.0,5.0
235,643,4.5,55,67.1,4.0
392,450,4.5,53,199.45,5.0
88,27,4.5,53,52.0,5.0
270,298,4.5,55,34.9,4.0
168,763,4.5,53,75.81,5.0
379,276,4.5,55,84.36,4.0
402,526,4.5,53,47.95,5.0
31,322,4.5,55,391.65,4.0
243,90,4.5,32,32.5,5.0
305,67,4.5,55,198.0,4.0
295,439,4.5,17,40.33,2.0
23,399,4.5,49,302.5,4.0
353,373,4.5,65,62.0,5.0
133,469,4.5,43,49.1,4.0
272,189,4.5,55,75.0,4.0
183,143,4.5,61,200.13,4.0
396,208,4.5,40,113.0,5.0
61,582,4.5,37,68.40597214,4.0
425,131,4.5,64,37.5,4.0
31,217,4.5,70,165.0,4.0
23,554,4.5,55,415.0,4.0
88,27,4.5,53,74.0,5.0
290,442,4.5,46,192.16,2.0
132,242,4.5,21,59.82,4.0
27,662,4.5,37,164.9,4.0
379,276,4.5,55,85.95,4.0
191,327,4.5,19,125.05,4.0
181,423,4.5,53,85.55,5.0
55,170,4.5,55,317.75,4.0
7,693,4.5,53,35.0,5.0
354,754,4.5,57,274.95,3.0
280,97,4.5,49,82.55,4.0
140,544,4.5,49,63.9,4.0
269,21,4.5,53,29.95,5.0
423,523,4.5,53,312.6,5.0
85,359,4.5,49,58.95,4.0
31,378,4.5,70,99.35,4.0
339,454,4.5,53,49.5,5.0
85,363,4.5,49,234.98,4.0
150,456,4.5,49,78.5,4.0
305,539,4.5,55,56.95,4.0
393,42,4.5,55,40.0,4.0
400,694,4.5,53,100.0,4.0
284,196,4.5,49,79.9,4.0
376,693,4.5,53,63.5,5.0
297,369,4.5,57,38.9,4.0
202,472,4.5,53,154.5,5.0
137,544,4.5,49,374.66,4.0
31,217,4.5,70,143.51,4.0
435,216,4.5,53,59.95,5.0
31,322,4.5,55,467.65,4.0
363,605,4.5,55,65.5,3.0
363,310,4.5,55,88.5,4.0
14,96,4.5,55,95.0,4.0
172,314,4.5,53,559.02,5.0
280,97,4.5,49,115.85,4.0
414,711,4.5,53,976.83,5.0
373,329,4.5,49,266.81,4.0
158,164,4.5,22,26.9,4.0
384,256,4.5,53,89.66,4.0
223,253,4.5,53,64.3,5.0
246,609,4.5,55,190.0,4.0
271,25,4.5,23,141.2,4.0
7,693,4.5,53,32.0,5.0
50,608,4.5,55,61.0,4.0
301,310,4.5,55,140.0,4.0
396,432,4.5,40,169.95,5.0
96,587,4.5,53,49.9,5.0
183,564,4.5,61,65.9,4.0
161,534,4.5,65,25.9,5.0
424,50,4.5,70,58.19,5.0
172,103,4.5,53,295.0,5.0
276,433,4.5,55,35.5,4.0
9,127,4.5,17,53.7,2.0
339,32,4.5,58,9.9,3.0
117,594,4.5,53,40.83333333,5.0
166,518,4.5,53,299.2868409,5.0
411,717,4.5,35,43.6838985,4.0
23,354,4.5,49,1372.14,4.0
280,97,4.5,49,79.55,4.0
108,533,4.5,49,57.0,4.0
416,84,4.5,50,14.96,4.158426788816932
438,130,4.5,53,60.06,5.0
291,591,4.5,53,237.0,5.0
137,544,4.5,49,993.28,4.0
256,95,4.5,53,71.9,5.0
193,310,4.5,55,270.0,4.0
272,189,4.5,55,48.5,4.0
27,662,4.5,37,200.0,4.0
429,169,4.5,55,107.5,4.0
93,111,4.5,65,77.5,5.0
262,360,4.5,8,32.9,3.0
142,637,4.5,16,93.51,4.0
227,674,4.5,10,75.0,4.0
404,509,4.5,53,44.95,5.0
441,324,4.5,55,75.0,4.0
202,472,4.5,53,143.38,5.0
414,719,4.5,53,195.0,5.0
158,524,4.5,22,20.15,4.0
159,366,4.5,8,1373.66,4.0
22,183,4.5,53,157.0,5.0
396,207,4.5,40,295.0,5.0
304,294,4.5,12,29.95,5.0
354,753,4.5,55,187.91,4.0
280,97,4.5,49,113.2,4.0
159,392,4.5,8,120.0,3.0
126,258,4.5,25,89.9,4.0
429,8,4.5,55,59.25,4.0
180,290,4.5,15,89.0,4.0
408,695,4.5,53,71.3,5.0
241,265,4.5,58,34.5,3.0
414,719,4.5,53,195.0,5.0
4,524,4.5,59,160.81,4.0
24,194,4.5,46,38.75,4.158426788816932
374,664,4.5,49,75.04,4.0
213,56,4.5,29,230.0,4.0
31,723,4.5,70,40.0,4.0
137,544,4.5,49,225.0,4.0
95,634,4.5,55,69.0,4.0
5,325,4.5,55,55.14,5.0
392,562,4.5,53,90.0,5.0
67,110,4.5,56,56.5,4.0
25,295,4.5,13,54.9,4.0
124,623,4.5,21,132.95,4.0
215,123,4.5,17,142.0,2.0
380,624,4.5,2,53.25,4.0
158,93,4.5,22,16.9,4.0
430,261,4.5,58,13.45,3.0
131,201,4.5,20,29.5,4.158426788816932
20,49,4.4,55,29.9168517,4.158426788816932
73,768,4.5,49,69.0,4.158426788816932
249,384,4.5,49,73.0,4.158426788816932
418,735,4.5,41,51.5,4.158426788816932
338,730,4.5,50,38.0,4.158426788816932
13,588,4.4,53,189.0,4.158426788816932
344,696,4.4,65,39.5,4.158426788816932
344,696,4.4,65,89.9,4.158426788816932
344,696,4.4,65,76.8,4.158426788816932
246,609,4.4,55,47.5,4.158426788816932
291,593,4.4,53,31.5,4.158426788816932
246,609,4.4,55,47.95,4.158426788816932
246,609,4.4,55,47.95,4.158426788816932
181,421,4.4,53,38.61,4.158426788816932
305,638,4.4,55,27.9,4.158426788816932
291,593,4.4,53,37.25,4.158426788816932
222,174,4.4,53,37.8,4.158426788816932
246,609,4.4,55,61.55,4.158426788816932
305,539,4.4,55,43.95,4.158426788816932
86,558,4.4,15,31.95,4.158426788816932
4,637,4.4,59,25.5,4.158426788816932
75,148,4.4,32,35.65,4.158426788816932
170,281,4.4,53,125.0,4.158426788816932
170,281,4.4,53,125.0,4.158426788816932
246,745,4.4,55,23.0,4.0
92,618,4.4,55,43.5,4.0
92,618,4.4,55,24.7,4.0
394,12,4.4,53,27.4,5.0
13,588,4.4,53,96.0,5.0
48,414,4.4,55,37.52,4.0
92,618,4.4,55,43.95,4.0
35,31,4.4,3,19.6,5.0
272,115,4.4,55,160.0,4.0
92,618,4.4,55,43.5,4.0
394,12,4.4,53,27.75,5.0
222,174,4.4,53,32.5,5.0
86,558,4.4,15,29.45,4.0
2,693,4.4,53,51.52682717,5.0
48,413,4.4,55,216.0,4.0
13,588,4.4,53,119.7,5.0
305,700,4.4,55,66.73,4.0
92,618,4.4,55,39.95,4.0
292,232,4.4,65,32.01,5.0
96,597,4.4,53,28.9,5.0
93,693,4.4,65,36.0,5.0
275,334,4.4,55,105.12,4.0
9,127,4.4,17,52.5,2.0
222,174,4.4,53,33.31,5.0
363,611,4.4,55,73.65,4.0
19,294,4.4,12,33.95,5.0
363,611,4.4,55,74.0,4.0
13,588,4.4,53,169.0,5.0
35,31,4.4,3,24.8,5.0
13,588,4.4,53,140.8408663,5.0
140,544,4.4,49,175.5,4.0
429,7,4.4,55,37.57,4.0
32,571,4.4,53,26.24,5.0
181,421,4.4,53,28.5,5.0
86,718,4.4,15,178.0,4.0
222,562,4.4,53,78.65,5.0
170,281,4.4,53,125.0,5.0
92,618,4.4,55,35.9,4.0
329,575,4.4,53,35.7,5.0
2,693,4.4,53,33.0,5.0
86,718,4.4,15,60.95,4.0
243,352,4.4,32,21.95,4.0
222,562,4.4,53,109.9,5.0
377,629,4.4,55,33.5,4.0
19,294,4.4,12,38.95,5.0
439,708,4.4,2,34.9,4.0
270,298,4.4,55,37.8,4.0
391,741,4.4,65,38.7,5.0
140,544,4.4,49,90.0,4.0
140,544,4.4,49,69.79,4.0
253,182,4.4,55,59.9,4.0
35,31,4.4,3,27.39,5.0
92,618,4.4,55,93.0,4.0
172,562,4.4,53,73.57,5.0
275,569,4.4,55,49.67,4.0
4,499,4.4,59,91.57,4.0
140,544,4.4,49,90.0,4.0
273,77,4.4,55,69.95,4.0
13,588,4.4,53,190.0,5.0
273,77,4.4,55,140.0,4.0
401,560,4.4,15,35.75,4.0
23,255,4.4,49,52.5,4.0
140,544,4.4,49,95.0,4.0
39,347,4.4,53,45.15,5.0
305,700,4.4,55,58.21422475,4.0
377,629,4.4,55,42.7,4.0
400,731,4.4,53,28.73153673,5.0
196,545,4.4,49,32.65,4.0
270,298,4.4,55,43.86,4.0
48,414,4.4,55,36.9,4.0
363,611,4.4,55,54.83,4.0
272,189,4.4,55,55.33,4.0
67,680,4.4,55,26.9,4.0
392,450,4.4,53,74.0,4.158426788816932
222,174,4.4,53,34.35,4.158426788816932
32,315,4.4,53,76.3,4.158426788816932
39,347,4.4,53,45.3,4.158426788816932
414,719,4.4,53,299.0,4.158426788816932
86,718,4.4,15,56.5,4.158426788816932
423,503,4.4,53,54.9,4.158426788816932
321,727,4.4,65,55.31,4.158426788816932
135,200,4.4,53,53.91,4.158426788816932
273,608,4.4,55,35.1,4.158426788816932
391,741,4.4,65,38.5,4.158426788816932
229,608,4.4,55,49.97,4.158426788816932
117,562,4.4,53,32.9,4.158426788816932
358,693,4.4,36,34.0,4.158426788816932
31,507,4.4,70,90.5,4.158426788816932
27,55,4.4,37,38.3,4.158426788816932
291,590,4.4,53,41.32,4.158426788816932
58,483,4.4,65,98.0,4.158426788816932
355,70,4.4,68,55.71,4.158426788816932
65,669,4.4,53,35.2,4.158426788816932
55,365,4.4,55,73.6,4.158426788816932
39,347,4.4,53,41.0,4.158426788816932
304,294,4.4,12,31.5,4.158426788816932
117,594,4.4,53,56.75,4.158426788816932
366,775,4.4,65,20.9,5.0
253,22,4.4,55,30.73,4.0
151,267,4.4,53,49.9,5.0
429,6,4.4,55,52.0,4.0
55,365,4.4,55,90.0,4.0
28,368,4.4,53,26.63,5.0
4,396,4.4,59,32.58,4.158426788816932
355,70,4.4,68,46.5,4.158426788816932
102,210,4.4,53,32.58118708,5.0
66,693,4.4,69,29.95,4.0
18,398,4.4,55,34.9,4.0
362,323,4.4,55,43.9,4.0
341,544,4.4,49,65.0,4.0
396,206,4.4,40,35.9,5.0
420,519,4.4,53,210.5,5.0
9,127,4.4,17,55.95,2.0
150,456,4.4,49,92.87162741,4.0
280,155,4.4,49,65.4,4.0
411,717,4.4,35,45.890156,4.0
191,327,4.4,19,304.0,4.0
127,134,4.4,55,47.5,4.0
253,22,4.4,55,29.9,4.0
148,608,4.4,55,40.45,4.0
428,226,4.4,55,49.65,4.0
31,507,4.4,70,57.11,4.0
